Age,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Academic Institution,Effectiveness Of Internet Usage,Household Internet Facilities,Time Of Internet Browsing,Frequency Of Internet Usage,Place Of Student's Residence,Purpose Of Internet Use,Browsing Purpose,Webinar,Priority Of Learning On The Internet,Internet Usage For Educational Purpose
17,7,2,0,0,1,3,0,1,5,0,0,5,0
17,7,1,0,2,0,3,0,1,2,1,0,2,1
17,5,0,0,2,1,3,0,1,2,1,0,5,2
17,3,7,0,3,1,3,0,1,1,0,1,2,0
17,4,1,0,0,1,3,0,1,5,1,0,4,1
17,3,1,0,3,1,3,0,1,5,0,0,2,3
17,5,2,0,0,1,3,2,1,0,0,0,0,3
17,8,2,0,0,1,0,0,0,5,0,0,5,4
17,4,1,0,0,1,3,0,1,2,1,0,2,3
17,4,2,0,2,1,0,0,1,4,1,0,0,0
15,8,0,0,3,1,0,0,2,2,0,0,5,0
17,3,4,0,3,1,3,0,1,3,0,0,4,4
17,8,0,0,3,1,3,0,1,5,1,0,5,1
17,7,2,0,3,0,3,2,1,5,1,0,5,4
17,3,8,0,2,1,3,0,1,1,0,0,0,4
17,4,2,0,3,1,3,0,2,4,1,0,0,2
17,1,2,0,2,1,3,0,1,3,0,0,0,4
16,3,3,0,2,1,3,0,1,0,0,0,0,0
17,3,3,0,0,1,3,0,1,3,0,0,0,2
17,4,1,0,3,1,0,0,1,4,1,0,0,1
17,3,2,0,3,1,3,0,1,3,0,0,5,4
17,2,4,0,3,1,3,2,1,0,0,0,2,4
17,7,2,0,0,1,3,2,1,2,1,1,0,1
17,4,2,0,3,1,3,2,1,3,1,0,0,3
17,1,8,0,3,1,0,0,1,1,0,0,4,0
17,5,2,0,3,0,0,0,1,5,1,0,5,3
17,8,1,0,2,1,3,0,1,2,0,0,5,3
17,8,0,0,0,1,3,0,1,5,0,0,4,4
16,2,2,0,3,1,0,0,1,4,0,0,2,4
17,4,2,0,0,0,3,2,1,5,1,0,2,1
18,3,2,0,3,1,3,0,2,0,0,0,0,2
17,4,2,0,0,1,3,0,1,3,0,0,2,0
17,4,0,0,0,1,0,0,1,5,1,1,0,4
17,5,0,0,2,1,3,0,1,2,1,1,5,1
17,6,2,0,0,1,3,0,1,5,1,0,0,1
17,4,1,0,0,1,3,0,1,2,1,0,3,3
17,6,0,0,0,0,3,0,1,5,1,0,2,1
17,7,1,0,2,1,3,2,1,5,1,0,5,2
18,3,7,0,3,1,3,0,1,1,0,0,0,0
17,0,7,0,3,1,3,0,1,1,0,0,0,2
17,7,1,0,2,1,3,0,1,2,1,0,2,2
17,8,2,0,0,1,3,2,1,5,1,0,5,2
17,8,2,0,0,1,0,2,1,5,1,0,2,4
17,6,0,0,0,1,3,0,1,5,1,0,5,4
17,8,2,0,0,1,3,0,0,5,1,0,5,4
15,0,5,0,2,1,3,2,1,1,0,1,0,4
17,4,0,0,0,1,3,0,1,5,1,1,2,2
17,2,8,0,3,1,3,0,0,1,0,0,4,4
17,8,1,0,0,1,3,0,2,2,1,0,2,2
17,4,1,0,0,1,3,0,1,5,1,0,0,1
17,6,0,0,0,1,0,1,0,5,1,0,5,4
17,6,1,0,2,1,3,0,1,5,1,0,5,1
17,5,4,0,3,1,3,0,1,0,0,0,2,0
17,7,2,0,0,1,3,2,1,5,1,0,2,1
17,2,3,0,3,1,3,0,1,0,0,0,2,4
16,5,3,0,3,1,3,0,2,0,0,0,3,3
16,4,2,0,3,1,3,0,2,0,0,0,2,0
17,5,2,0,2,1,3,0,2,2,1,1,4,1
15,3,7,0,2,1,3,0,1,1,0,0,1,0
18,6,2,0,2,1,3,0,1,2,1,0,3,1
17,2,1,0,3,1,3,0,1,4,0,0,3,4
17,6,1,0,0,0,3,0,2,5,1,0,5,1
17,3,6,0,2,1,3,2,1,1,0,0,3,4
17,7,0,0,3,0,3,0,1,5,1,0,1,3
17,7,1,0,2,1,3,0,2,5,1,0,4,2
17,3,2,0,3,1,3,0,1,3,0,0,3,0
17,2,3,0,2,0,3,0,1,0,1,0,0,0
17,4,0,0,2,1,3,2,1,5,1,0,3,1
17,1,2,0,3,1,3,0,1,3,1,0,0,1
17,4,1,0,3,1,0,0,1,4,0,0,5,4
17,4,4,0,3,1,3,0,1,0,0,0,4,2
17,4,3,0,3,1,3,0,1,0,1,0,2,1
17,2,5,0,0,1,3,0,1,1,0,1,4,4
17,5,2,0,0,1,3,0,1,5,1,1,5,1
17,8,2,0,0,1,3,0,1,2,1,0,5,1
18,7,0,0,0,1,3,2,1,2,1,0,2,2
17,4,4,0,3,1,3,0,1,3,0,0,0,0
17,5,2,0,3,1,0,0,0,5,0,0,3,3
17,8,2,0,2,1,3,0,1,5,1,0,1,1
17,4,2,0,0,1,3,0,1,5,1,0,0,1
16,5,2,0,3,1,3,0,2,0,0,0,1,3
17,4,2,0,0,0,3,0,1,2,1,0,5,2
17,6,0,0,2,1,3,0,1,5,1,0,5,1
18,4,2,0,2,1,3,2,1,2,1,0,2,1
17,0,6,0,3,0,3,0,1,1,0,1,1,0
17,6,2,0,0,1,0,0,1,5,1,0,5,1
17,7,0,0,0,1,0,0,1,5,1,0,4,1
17,4,2,0,3,1,3,0,1,4,1,0,5,1
15,8,0,0,3,1,3,0,1,2,1,0,3,1
17,8,0,0,0,1,3,0,1,5,1,0,5,4
17,5,2,0,0,1,3,0,1,5,0,0,3,2
17,8,1,0,2,0,0,0,1,2,1,1,5,1
17,8,0,0,2,1,3,2,2,5,1,1,1,3
