Gender,Age,Popular Website,Proficiency,Medium,Location,Household Internet Facilities,Browse Time,Browsing Status,Residence,Total Internet Usage(hrs/day),Time Spent in Academic(hrs/day),Purpose of Use,Years of Internet Use,Browsing Purpose,Webinar,Priority of Learning,Internet Usage For Educational Purpose,Academic Performance,Obstacles
Female,24,Youtube,Average,Mobile,Home,Connected,Night,Daily,Town,3,4,Education,4,Academic,No,Communication Skills,Notes or lectures for academical purpose,Good,High Price
Male,24,Youtube,Good,Mobile,Library,Connected,Night,Daily,Town,3,7,Education,5,Non-academic,Yes,Academic Learning,Notes or lectures for academical purpose,Good,High Price
Female,23,Youtube,Very Good,Desktop,Home,Not Connected,Night,Daily,Town,2,6,Education,5,Non-academic,Yes,Academic Learning,Articles or Blogs related to non-academical studies,Good,High Price
Male,23,Google,Average,Laptop and Mobile,University,Connected,Day,Daily,Town,1,5,Education,0,Academic,Yes,Non-academic Learning,Notes or lectures for academical purpose,Satisfactory,Bad Service
Male,23,Youtube,Good,Desktop,University,Not Connected,Day,Daily,Village,2,4,Education,2,Academic,Yes,Academic Learning,Articles or Blogs related to academical studies,Good,High Price
Female,24,Google,Not at all,Laptop and Mobile,Library,Connected,Midnight,Daily,Town,0,3,Education,3,Academic,Yes,Communication Skills,Notes or lectures for academical purpose,Satisfactory,Bad Service
Female,23,Gmail,Very Good,Laptop and Mobile,University,Connected,Midnight,Monthly,Town,5,5,Online Shopping,5,Academic,No,Communication Skills,E-books or other Media files,Good,High Price
Female,25,Gmail,Average,Laptop and Mobile,Library,Connected,Night,Daily,Town,2,5,Entertainment,2,Non-academic,Yes,Non-academic Learning,Courses Available on specific topics,Good,High Price
Male,23,Youtube,Good,Mobile,Home,Connected,Day,Daily,Town,5,7,Education,4,Non-academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Good,High Price
Female,23,Google,Average,Laptop and Mobile,University,Connected,Day,Daily,Village,3,6,Education,5,Non-academic,No,Creativity and Innovative Skills,Research/Journal/Conference Papers,Good,Bad Service
Male,23,Whatsapp,Average,Laptop and Mobile,Home,Connected,Morning,Daily,Town,2,2,Social Media,4,Academic,Yes,Leadership Development,Articles or Blogs related to academical studies,Good,Unavailability
Male,23,Google,Average,Laptop and Mobile,Cyber Cafe,Connected,Night,Weekly,Village,0,4,Education,4,Non-academic,Yes,Creativity and Innovative Skills,Research/Journal/Conference Papers,Satisfactory,High Price
Female,24,Google,Average,Mobile,Home,Connected,Day,Daily,Village,3,5,Education,4,Non-academic,No,Academic Learning,Articles or Blogs related to non-academical studies,Satisfactory,Bad Service
Male,24,Youtube,Good,Mobile,University,Connected,Night,Daily,Town,3,6,Education,2,Academic,Yes,Academic Learning,E-books or other Media files,Good,High Price
Male,23,Google,Good,Laptop and Mobile,Home,Connected,Night,Daily,Town,0,4,Education,3,Non-academic,No,Non-academic Learning,Articles or Blogs related to academical studies,Satisfactory,Bad Service
Female,25,Twitter,Average,Mobile,Library,Connected,Night,Daily,Town,4,5,Education,4,Academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Satisfactory,High Price
Female,23,Google,Very Good,Mobile,Cyber Cafe,Connected,Night,Daily,Village,7,3,Social Media,4,Non-academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Good,Bad Service
Male,23,Youtube,Very Good,Desktop,Cyber Cafe,Connected,Night,Daily,Village,7,3,Blog,6,Academic,Yes,Communication Skills,Courses Available on specific topics,Average,High Price
Male,23,Google,Very Good,Laptop and Mobile,University,Connected,Day,Daily,Town,5,7,Online Shopping,3,Academic,Yes,Communication Skills,Research/Journal/Conference Papers,Good,Bad Service
Female,23,Google,Good,Laptop and Mobile,Cyber Cafe,Connected,Midnight,Daily,Village,5,3,News,5,Academic,Yes,Academic Learning,Research/Journal/Conference Papers,Good,High Price
Male,23,Youtube,Very Good,Desktop,Cyber Cafe,Connected,Night,Daily,Village,5,2,Blog,6,Academic,Yes,Communication Skills,Articles or Blogs related to academical studies,Average,High Price
Male,24,Google,Average,Laptop and Mobile,Cyber Cafe,Connected,Midnight,Daily,Town,2,7,Online Shopping,4,Academic,Yes,Non-academic Learning,Notes or lectures for academical purpose,Good,High Price
Female,23,Facebook,Good,Mobile,University,Not Connected,Night,Weekly,Village,6,3,Online Shopping,4,Non-academic,Yes,Non-academic Learning,Research/Journal/Conference Papers,Average,High Price
Male,24,Instagram,Good,Mobile,University,Connected,Morning,Daily,Town,0,3,Education,1,Academic,No,Academic Learning,Research/Journal/Conference Papers,Satisfactory,High Price
Male,23,Google,Good,Laptop and Mobile,Home,Connected,Night,Daily,Town,3,2,Social Media,4,Non-academic,Yes,Non-academic Learning,Articles or Blogs related to non-academical studies,Satisfactory,Bad Service
